metric_name	Entire Run	50918036C_HPSID_002_L1	50918124C_HPSID_004_L1	50918402C_HPSID_005_L1	50918538C_HPSID_006_L1	50918870C_HPSID_007_L1	50918871C_HPSID_008_L1	50918872C_HPSID_010_L1	50918873C_HPSID_011_L1	50919226C_HPSID_012_L1	50919228C_HPSID_013_L1	50919229C_HPSID_014_L1	50919232C_HPSID_015_L1	50919286C_HPSID_016_L1	50919291C_HPSID_017_L1	50919762C_HPSID_018_L1	50919764C_HPSID_019_L1	50919765C_HPSID_020_L1	50921887C_HPSID_021_L1	50921888C_HPSID_022_L1	50921890C_HPSID_023_L1	50921891C_HPSID_024_L1	50921894C_HPSID_025_L1	50922308C_HPSID_026_L1	50922842C_HPSID_027_L1	50922843C_HPSID_028_L1	50922845C_HPSID_029_L1	50923318C_HPSID_030_L1	50923325C_HPSID_031_L1	50923326C_HPSID_032_L1	50923328C_HPSID_033_L1	50923756C_HPSID_034_L1	50923758C_HPSID_035_L1	50923759C_HPSID_036_L1	50923760C_HPSID_037_L1	50923762C_HPSID_038_L1	50924230C_HPSID_039_L1	50924575C_HPSID_042_L1	50924582C_HPSID_043_L1	50924600C_HPSID_044_L1	50925090C_HPSID_046_L1	50925091C_HPSID_047_L1	50925093C_HPSID_048_L1	50925096C_HPSID_050_L1	50925512C_HPSID_051_L1	50925513C_HPSID_052_L1	50925514C_HPSID_053_L1
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/10/low_quality_reads	NA	9	10	15	19	6	8	9	53	77	5	9	24	8	33	10	22	15	8	11	25	27	21	14	14	61	8	11	34	6	10	21	12	16	15	16	11	44	8	4	14	33	17	9	15	26	21
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/10/mean_effective_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/10/mean_spanning_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/10/percentage_discordant	NA	30.769231%	29.411765%	45.161290%	29.629630%	21.428571%	46.153846%	46.153846%	37.681159%	24.277457%	14.285714%	28.571429%	32.352941%	7.692308%	25.806452%	27.777778%	24.242424%	25.714286%	5.263158%	40.000000%	20.000000%	17.307692%	19.354839%	28.571429%	15.000000%	19.879518%	18.750000%	27.272727%	24.242424%	9.090909%	46.666667%	17.142857%	20.000000%	21.739130%	34.615385%	45.454545%	16.000000%	20.895522%	14.285714%	25.000000%	20.000000%	15.306122%	25.925926%	23.529412%	37.500000%	30.952381%	37.500000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/10/percentage_effective	NA	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	7.692308%	0.000000%	4.347826%	22.543353%	0.000000%	0.000000%	0.000000%	0.000000%	11.290323%	0.000000%	3.030303%	22.857143%	10.526316%	0.000000%	2.857143%	26.923077%	3.225806%	0.000000%	0.000000%	25.301205%	0.000000%	4.545455%	39.393939%	27.272727%	6.666667%	2.857143%	8.000000%	4.347826%	0.000000%	0.000000%	8.000000%	13.432836%	14.285714%	25.000000%	12.000000%	19.387755%	7.407407%	0.000000%	0.000000%	7.142857%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/10/percentage_low_quality	NA	69.230769%	58.823529%	48.387097%	70.370370%	42.857143%	61.538462%	69.230769%	76.811594%	44.508671%	71.428571%	64.285714%	70.588235%	61.538462%	53.225806%	55.555556%	66.666667%	42.857143%	42.105263%	73.333333%	71.428571%	51.923077%	67.741935%	66.666667%	70.000000%	36.746988%	50.000000%	50.000000%	51.515152%	54.545455%	66.666667%	60.000000%	48.000000%	69.565217%	57.692308%	72.727273%	44.000000%	65.671642%	57.142857%	33.333333%	56.000000%	33.673469%	62.962963%	52.941176%	62.500000%	61.904762%	65.625000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/10/percentage_spanning	NA	69.230769%	58.823529%	51.612903%	70.370370%	42.857143%	69.230769%	69.230769%	81.159420%	73.988439%	71.428571%	64.285714%	70.588235%	61.538462%	64.516129%	55.555556%	69.696970%	65.714286%	52.631579%	73.333333%	74.285714%	78.846154%	70.967742%	66.666667%	70.000000%	65.662651%	50.000000%	54.545455%	90.909091%	81.818182%	73.333333%	62.857143%	56.000000%	73.913043%	57.692308%	72.727273%	60.000000%	79.104478%	71.428571%	58.333333%	72.000000%	55.102041%	70.370370%	58.823529%	62.500000%	69.047619%	65.625000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/10/phred	NA	NA	NA	NA	NA	NA	93.000000	NA	4.771213	4.449366	NA	NA	NA	NA	3.679768	NA	-0.000000	9.030900	93.000000	NA	93.000000	8.450980	-0.000000	NA	NA	4.471580	NA	93.000000	9.378521	93.000000	-0.000000	93.000000	93.000000	93.000000	NA	NA	93.000000	9.542425	3.010300	93.000000	93.000000	5.006024	93.000000	NA	NA	4.771213	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/10/spanning_reads	NA	9	10	16	19	6	9	9	56	128	5	9	24	8	40	10	23	23	10	11	26	41	22	14	14	109	8	12	60	9	11	22	14	17	15	16	15	53	10	7	18	54	19	10	15	29	21
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/10/total_reads	NA	13	17	31	27	14	13	13	69	173	7	14	34	13	62	18	33	35	19	15	35	52	31	21	20	166	16	22	66	11	15	35	25	23	26	22	25	67	14	12	25	98	27	17	24	42	32
