metric_name	Entire Run	50918036C_HPSID_002_L1	50918124C_HPSID_004_L1	50918402C_HPSID_005_L1	50918538C_HPSID_006_L1	50918870C_HPSID_007_L1	50918871C_HPSID_008_L1	50918872C_HPSID_010_L1	50918873C_HPSID_011_L1	50919226C_HPSID_012_L1	50919228C_HPSID_013_L1	50919229C_HPSID_014_L1	50919232C_HPSID_015_L1	50919286C_HPSID_016_L1	50919291C_HPSID_017_L1	50919762C_HPSID_018_L1	50919764C_HPSID_019_L1	50919765C_HPSID_020_L1	50921887C_HPSID_021_L1	50921888C_HPSID_022_L1	50921890C_HPSID_023_L1	50921891C_HPSID_024_L1	50921894C_HPSID_025_L1	50922308C_HPSID_026_L1	50922842C_HPSID_027_L1	50922843C_HPSID_028_L1	50922845C_HPSID_029_L1	50923318C_HPSID_030_L1	50923325C_HPSID_031_L1	50923326C_HPSID_032_L1	50923328C_HPSID_033_L1	50923756C_HPSID_034_L1	50923758C_HPSID_035_L1	50923759C_HPSID_036_L1	50923760C_HPSID_037_L1	50923762C_HPSID_038_L1	50924230C_HPSID_039_L1	50924575C_HPSID_042_L1	50924582C_HPSID_043_L1	50924600C_HPSID_044_L1	50925090C_HPSID_046_L1	50925091C_HPSID_047_L1	50925093C_HPSID_048_L1	50925096C_HPSID_050_L1	50925512C_HPSID_051_L1	50925513C_HPSID_052_L1	50925514C_HPSID_053_L1
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/12/total_reads	NA	60	56	85	109	81	52	46	230	257	62	52	101	77	106	80	91	86	99	71	95	99	141	73	88	189	81	75	145	106	71	99	63	116	79	81	95	237	53	74	92	119	111	71	82	130	126
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/13/deletion_error_rate	NA	NA	NA	100.000000%	NA	0.000000%	NA	NA	NA	29.166667%	0.000000%	NA	NA	NA	0.000000%	NA	NA	25.000000%	0.000000%	NA	50.000000%	14.285714%	NA	NA	100.000000%	42.857143%	NA	0.000000%	26.666667%	NA	NA	50.000000%	0.000000%	NA	NA	NA	NA	0.000000%	NA	0.000000%	0.000000%	36.363636%	33.333333%	100.000000%	NA	0.000000%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/13/discordant_reads	NA	10	12	16	16	11	11	9	64	33	8	7	13	4	19	10	20	14	16	5	7	18	23	17	10	22	14	10	31	11	8	12	9	14	9	9	18	58	7	7	16	17	20	17	16	23	27
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/13/effective_reads	NA	0	0	1	0	1	0	0	0	24	1	0	0	0	2	0	0	8	1	0	2	14	0	0	3	28	0	1	15	0	0	2	1	0	0	0	0	9	0	1	1	22	3	1	0	1	2
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/13/effective_reads_with_deletion	NA	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	2	0	0	1	2	0	0	3	12	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	8	1	1	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/13/effective_reads_with_insertion	NA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/13/effective_reads_with_substitution	NA	0	0	0	0	0	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	8	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/13/hp_count	NA	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102	82102
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/13/indel_error_rate	NA	NA	NA	100.000000%	NA	0.000000%	NA	NA	NA	33.333333%	0.000000%	NA	NA	NA	0.000000%	NA	NA	37.500000%	0.000000%	NA	50.000000%	28.571429%	NA	NA	100.000000%	42.857143%	NA	0.000000%	46.666667%	NA	NA	50.000000%	0.000000%	NA	NA	NA	NA	11.111111%	NA	0.000000%	0.000000%	45.454545%	33.333333%	100.000000%	NA	100.000000%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/13/insertion_error_rate	NA	NA	NA	0.000000%	NA	0.000000%	NA	NA	NA	4.166667%	0.000000%	NA	NA	NA	0.000000%	NA	NA	12.500000%	0.000000%	NA	0.000000%	14.285714%	NA	NA	0.000000%	0.000000%	NA	0.000000%	20.000000%	NA	NA	0.000000%	0.000000%	NA	NA	NA	NA	11.111111%	NA	0.000000%	0.000000%	9.090909%	0.000000%	0.000000%	NA	100.000000%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/13/low_quality_reads	NA	18	21	31	30	20	26	15	90	57	16	9	20	9	37	19	34	19	27	18	30	30	40	32	21	52	21	17	60	22	14	27	10	24	17	16	31	85	17	11	29	38	28	23	22	44	40
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/13/mean_effective_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/13/mean_spanning_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/13/percentage_discordant	NA	26.315789%	36.363636%	28.070175%	29.090909%	23.404255%	20.370370%	23.076923%	39.506173%	22.916667%	25.806452%	30.434783%	31.707317%	10.810811%	27.941176%	24.390244%	28.985507%	28.571429%	36.363636%	17.857143%	10.294118%	23.684211%	28.750000%	36.956522%	22.222222%	19.469027%	31.818182%	22.222222%	27.927928%	27.500000%	17.391304%	20.000000%	39.130435%	29.166667%	16.363636%	20.454545%	32.727273%	36.024845%	21.875000%	29.166667%	28.070175%	17.000000%	33.333333%	37.777778%	34.782609%	23.958333%	34.177215%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/13/percentage_effective	NA	0.000000%	0.000000%	1.754386%	0.000000%	2.127660%	0.000000%	0.000000%	0.000000%	16.666667%	3.225806%	0.000000%	0.000000%	0.000000%	2.941176%	0.000000%	0.000000%	16.326531%	2.272727%	0.000000%	2.941176%	18.421053%	0.000000%	0.000000%	6.666667%	24.778761%	0.000000%	2.222222%	13.513514%	0.000000%	0.000000%	3.333333%	4.347826%	0.000000%	0.000000%	0.000000%	0.000000%	5.590062%	0.000000%	4.166667%	1.754386%	22.000000%	5.000000%	2.222222%	0.000000%	1.041667%	2.531646%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/13/percentage_low_quality	NA	47.368421%	63.636364%	54.385965%	54.545455%	42.553191%	48.148148%	38.461538%	55.555556%	39.583333%	51.612903%	39.130435%	48.780488%	24.324324%	54.411765%	46.341463%	49.275362%	38.775510%	61.363636%	64.285714%	44.117647%	39.473684%	50.000000%	69.565217%	46.666667%	46.017699%	47.727273%	37.777778%	54.054054%	55.000000%	30.434783%	45.000000%	43.478261%	50.000000%	30.909091%	36.363636%	56.363636%	52.795031%	53.125000%	45.833333%	50.877193%	38.000000%	46.666667%	51.111111%	47.826087%	45.833333%	50.632911%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/13/percentage_spanning	NA	47.368421%	63.636364%	56.140351%	54.545455%	44.680851%	48.148148%	38.461538%	55.555556%	58.333333%	54.838710%	39.130435%	48.780488%	24.324324%	57.352941%	46.341463%	49.275362%	55.102041%	63.636364%	64.285714%	47.058824%	59.210526%	50.000000%	69.565217%	53.333333%	75.221239%	47.727273%	40.000000%	68.468468%	55.000000%	30.434783%	48.333333%	47.826087%	50.000000%	30.909091%	36.363636%	56.363636%	58.385093%	56.250000%	50.000000%	52.631579%	61.000000%	51.666667%	53.333333%	47.826087%	46.875000%	53.164557%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/13/phred	NA	NA	NA	-0.000000	NA	93.000000	NA	NA	NA	4.771213	93.000000	NA	NA	NA	93.000000	NA	NA	4.259687	93.000000	NA	3.010300	5.440680	NA	NA	-0.000000	3.679768	NA	93.000000	3.309932	NA	NA	3.010300	93.000000	NA	NA	NA	NA	9.542425	NA	93.000000	93.000000	3.424227	4.771213	-0.000000	NA	-0.000000	93.000000
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/13/spanning_reads	NA	18	21	32	30	21	26	15	90	84	17	9	20	9	39	19	34	27	28	18	32	45	40	32	24	85	21	18	76	22	14	29	11	24	17	16	31	94	18	12	30	61	31	24	22	45	42
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/13/total_reads	NA	38	33	57	55	47	54	39	162	144	31	23	41	37	68	41	69	49	44	28	68	76	80	46	45	113	44	45	111	40	46	60	23	48	55	44	55	161	32	24	57	100	60	45	46	96	79
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/14/deletion_error_rate	NA	0.000000%	NA	NA	0.000000%	0.000000%	0.000000%	NA	0.000000%	50.000000%	NA	NA	NA	NA	0.000000%	0.000000%	NA	0.000000%	0.000000%	NA	66.666667%	20.000000%	NA	NA	NA	28.571429%	NA	0.000000%	22.222222%	50.000000%	NA	100.000000%	NA	NA	NA	NA	NA	0.000000%	0.000000%	NA	100.000000%	60.000000%	0.000000%	NA	NA	0.000000%	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/14/discordant_reads	NA	8	8	11	11	11	16	10	34	35	8	14	17	11	23	10	14	15	18	14	19	16	32	6	10	34	13	13	28	10	8	11	12	18	22	8	16	32	9	7	34	22	18	13	10	21	23
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/14/effective_reads	NA	1	0	0	1	1	3	0	1	20	0	0	0	0	3	1	0	3	1	0	3	5	0	0	0	21	0	1	18	2	0	1	0	0	0	0	0	12	1	0	1	10	1	0	0	1	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/14/effective_reads_with_deletion	NA	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	6	0	0	4	1	0	1	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/14/effective_reads_with_insertion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/14/effective_reads_with_substitution	NA	0	0	0	0	0	0	0	0	7	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	5	1	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/14/hp_count	NA	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941	72941
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/14/indel_error_rate	NA	0.000000%	NA	NA	0.000000%	0.000000%	0.000000%	NA	0.000000%	50.000000%	NA	NA	NA	NA	0.000000%	0.000000%	NA	33.333333%	0.000000%	NA	66.666667%	40.000000%	NA	NA	NA	38.095238%	NA	0.000000%	33.333333%	50.000000%	NA	100.000000%	NA	NA	NA	NA	NA	0.000000%	0.000000%	NA	100.000000%	60.000000%	0.000000%	NA	NA	0.000000%	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/14/insertion_error_rate	NA	0.000000%	NA	NA	0.000000%	0.000000%	0.000000%	NA	0.000000%	0.000000%	NA	NA	NA	NA	0.000000%	0.000000%	NA	33.333333%	0.000000%	NA	0.000000%	20.000000%	NA	NA	NA	9.523810%	NA	0.000000%	11.111111%	0.000000%	NA	0.000000%	NA	NA	NA	NA	NA	0.000000%	0.000000%	NA	0.000000%	0.000000%	0.000000%	NA	NA	0.000000%	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/14/low_quality_reads	NA	14	17	25	25	18	25	18	57	66	12	28	26	18	35	13	23	26	25	20	34	30	53	10	16	54	21	20	61	19	16	27	21	30	29	18	33	63	17	10	44	37	36	21	20	37	43
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/14/mean_effective_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/14/mean_spanning_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/14/percentage_discordant	NA	16.326531%	15.384615%	16.666667%	14.285714%	16.923077%	31.372549%	16.949153%	19.101124%	20.958084%	18.604651%	24.137931%	24.285714%	29.729730%	18.110236%	20.408163%	20.588235%	23.809524%	27.692308%	34.146341%	21.839080%	24.242424%	17.582418%	12.500000%	19.230769%	24.817518%	23.214286%	19.402985%	20.740741%	14.084507%	14.285714%	15.714286%	22.222222%	23.376623%	30.985915%	15.094340%	22.857143%	16.080402%	16.981132%	15.555556%	36.170213%	26.506024%	20.224719%	20.000000%	15.625000%	17.355372%	23.958333%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/14/percentage_effective	NA	2.040816%	0.000000%	0.000000%	1.298701%	1.538462%	5.882353%	0.000000%	0.561798%	11.976048%	0.000000%	0.000000%	0.000000%	0.000000%	2.362205%	2.040816%	0.000000%	4.761905%	1.538462%	0.000000%	3.448276%	7.575758%	0.000000%	0.000000%	0.000000%	15.328467%	0.000000%	1.492537%	13.333333%	2.816901%	0.000000%	1.428571%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	6.030151%	1.886792%	0.000000%	1.063830%	12.048193%	1.123596%	0.000000%	0.000000%	0.826446%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/14/percentage_low_quality	NA	28.571429%	32.692308%	37.878788%	32.467532%	27.692308%	49.019608%	30.508475%	32.022472%	39.520958%	27.906977%	48.275862%	37.142857%	48.648649%	27.559055%	26.530612%	33.823529%	41.269841%	38.461538%	48.780488%	39.080460%	45.454545%	29.120879%	20.833333%	30.769231%	39.416058%	37.500000%	29.850746%	45.185185%	26.760563%	28.571429%	38.571429%	38.888889%	38.961039%	40.845070%	33.962264%	47.142857%	31.658291%	32.075472%	22.222222%	46.808511%	44.578313%	40.449438%	32.307692%	31.250000%	30.578512%	44.791667%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/14/percentage_spanning	NA	30.612245%	32.692308%	37.878788%	33.766234%	29.230769%	54.901961%	30.508475%	32.584270%	52.694611%	27.906977%	48.275862%	37.142857%	48.648649%	29.921260%	28.571429%	33.823529%	46.031746%	40.000000%	48.780488%	42.528736%	53.030303%	30.219780%	20.833333%	30.769231%	56.204380%	37.500000%	31.343284%	58.518519%	29.577465%	28.571429%	40.000000%	38.888889%	38.961039%	40.845070%	33.962264%	47.142857%	37.688442%	33.962264%	22.222222%	47.872340%	57.831325%	41.573034%	32.307692%	31.250000%	31.404959%	44.791667%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/14/phred	NA	93.000000	NA	NA	93.000000	93.000000	93.000000	NA	93.000000	3.010300	NA	NA	NA	NA	93.000000	93.000000	NA	4.771213	93.000000	NA	1.760913	3.979400	NA	NA	NA	4.191293	NA	93.000000	4.771213	3.010300	NA	-0.000000	NA	NA	NA	NA	NA	93.000000	93.000000	NA	-0.000000	2.218487	93.000000	NA	NA	93.000000	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/14/spanning_reads	NA	15	17	25	26	19	28	18	58	88	12	28	26	18	38	14	23	29	26	20	37	35	55	10	16	77	21	21	79	21	16	28	21	30	29	18	33	75	18	10	45	48	37	21	20	38	43
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/14/total_reads	NA	49	52	66	77	65	51	59	178	167	43	58	70	37	127	49	68	63	65	41	87	66	182	48	52	137	56	67	135	71	56	70	54	77	71	53	70	199	53	45	94	83	89	65	64	121	96
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/15/deletion_error_rate	NA	0.000000%	NA	NA	NA	0.000000%	0.000000%	NA	50.000000%	21.212121%	NA	NA	NA	NA	0.000000%	NA	0.000000%	33.333333%	NA	NA	NA	22.222222%	100.000000%	NA	NA	34.375000%	0.000000%	NA	16.666667%	0.000000%	NA	NA	0.000000%	NA	NA	NA	NA	0.000000%	0.000000%	0.000000%	0.000000%	25.000000%	100.000000%	0.000000%	0.000000%	0.000000%	33.333333%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/15/discordant_reads	NA	11	13	23	22	15	15	19	67	50	13	12	15	22	41	14	31	18	23	14	22	30	37	14	24	43	21	16	33	27	24	30	15	29	28	28	24	61	22	14	23	28	30	21	27	27	40
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/15/effective_reads	NA	1	0	0	0	1	3	0	2	33	0	0	0	0	6	0	1	3	0	0	0	9	1	0	0	32	1	0	12	1	0	0	2	0	0	0	0	6	1	2	1	16	1	1	1	1	3
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/15/effective_reads_with_deletion	NA	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	11	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	1
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/15/effective_reads_with_insertion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/15/effective_reads_with_substitution	NA	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/15/hp_count	NA	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887	64887
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/15/indel_error_rate	NA	0.000000%	NA	NA	NA	0.000000%	0.000000%	NA	50.000000%	21.212121%	NA	NA	NA	NA	0.000000%	NA	0.000000%	33.333333%	NA	NA	NA	22.222222%	100.000000%	NA	NA	34.375000%	0.000000%	NA	50.000000%	0.000000%	NA	NA	50.000000%	NA	NA	NA	NA	0.000000%	0.000000%	0.000000%	0.000000%	25.000000%	100.000000%	0.000000%	0.000000%	0.000000%	33.333333%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/15/insertion_error_rate	NA	0.000000%	NA	NA	NA	0.000000%	0.000000%	NA	0.000000%	0.000000%	NA	NA	NA	NA	0.000000%	NA	0.000000%	0.000000%	NA	NA	NA	0.000000%	0.000000%	NA	NA	0.000000%	0.000000%	NA	33.333333%	0.000000%	NA	NA	50.000000%	NA	NA	NA	NA	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/15/low_quality_reads	NA	15	19	36	40	36	25	29	98	124	21	21	24	32	72	21	50	33	31	21	38	46	56	29	34	74	32	33	60	38	39	49	25	37	40	38	36	100	34	22	40	44	52	30	36	47	57
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/15/mean_effective_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/15/mean_spanning_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/15/percentage_discordant	NA	36.666667%	37.142857%	35.937500%	37.288136%	24.590164%	36.585366%	35.185185%	38.953488%	23.255814%	33.333333%	32.432432%	29.411765%	48.888889%	39.423077%	46.666667%	36.470588%	33.962264%	42.592593%	45.161290%	29.729730%	42.857143%	46.835443%	31.111111%	44.444444%	27.215190%	38.888889%	29.090909%	36.263736%	50.943396%	45.283019%	43.478261%	33.333333%	48.333333%	49.122807%	51.851852%	42.857143%	35.260116%	40.740741%	35.000000%	33.823529%	31.460674%	35.714286%	39.622642%	45.762712%	36.000000%	43.478261%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/15/percentage_effective	NA	3.333333%	0.000000%	0.000000%	0.000000%	1.639344%	7.317073%	0.000000%	1.162791%	15.348837%	0.000000%	0.000000%	0.000000%	0.000000%	5.769231%	0.000000%	1.176471%	5.660377%	0.000000%	0.000000%	0.000000%	12.857143%	1.265823%	0.000000%	0.000000%	20.253165%	1.851852%	0.000000%	13.186813%	1.886792%	0.000000%	0.000000%	4.444444%	0.000000%	0.000000%	0.000000%	0.000000%	3.468208%	1.851852%	5.000000%	1.470588%	17.977528%	1.190476%	1.886792%	1.694915%	1.333333%	3.260870%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/15/percentage_low_quality	NA	50.000000%	54.285714%	56.250000%	67.796610%	59.016393%	60.975610%	53.703704%	56.976744%	57.674419%	53.846154%	56.756757%	47.058824%	71.111111%	69.230769%	70.000000%	58.823529%	62.264151%	57.407407%	67.741935%	51.351351%	65.714286%	70.886076%	64.444444%	62.962963%	46.835443%	59.259259%	60.000000%	65.934066%	71.698113%	73.584906%	71.014493%	55.555556%	61.666667%	70.175439%	70.370370%	64.285714%	57.803468%	62.962963%	55.000000%	58.823529%	49.438202%	61.904762%	56.603774%	61.016949%	62.666667%	61.956522%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/15/percentage_spanning	NA	53.333333%	54.285714%	56.250000%	67.796610%	60.655738%	68.292683%	53.703704%	58.139535%	74.418605%	53.846154%	56.756757%	47.058824%	71.111111%	75.000000%	70.000000%	60.000000%	67.924528%	57.407407%	67.741935%	51.351351%	78.571429%	72.151899%	64.444444%	62.962963%	67.721519%	61.111111%	60.000000%	79.120879%	73.584906%	73.584906%	71.014493%	60.000000%	61.666667%	70.175439%	70.370370%	64.285714%	61.271676%	64.814815%	60.000000%	61.764706%	67.415730%	63.095238%	58.490566%	62.711864%	64.000000%	66.304348%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/15/phred	NA	93.000000	NA	NA	NA	93.000000	93.000000	NA	3.010300	6.734159	NA	NA	NA	NA	93.000000	NA	93.000000	4.771213	NA	NA	NA	6.532125	-0.000000	NA	NA	4.637573	93.000000	NA	3.010300	93.000000	NA	NA	3.010300	NA	NA	NA	NA	93.000000	93.000000	93.000000	93.000000	6.020600	-0.000000	93.000000	93.000000	93.000000	4.771213
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/15/spanning_reads	NA	16	19	36	40	37	28	29	100	160	21	21	24	32	78	21	51	36	31	21	38	55	57	29	34	107	33	33	72	39	39	49	27	37	40	38	36	106	35	24	42	60	53	31	37	48	61
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/15/total_reads	NA	30	35	64	59	61	41	54	172	215	39	37	51	45	104	30	85	53	54	31	74	70	79	45	54	158	54	55	91	53	53	69	45	60	57	54	56	173	54	40	68	89	84	53	59	75	92
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/16/deletion_error_rate	NA	NA	NA	NA	NA	NA	0.000000%	NA	NA	29.411765%	NA	0.000000%	NA	NA	NA	NA	NA	0.000000%	0.000000%	NA	100.000000%	0.000000%	NA	NA	NA	14.285714%	NA	0.000000%	0.000000%	NA	NA	NA	NA	NA	0.000000%	NA	NA	0.000000%	0.000000%	0.000000%	NA	0.000000%	0.000000%	0.000000%	NA	50.000000%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/16/discordant_reads	NA	25	30	30	44	29	24	22	96	56	22	31	37	16	46	25	40	29	28	29	47	24	54	28	28	42	24	44	34	23	27	32	19	34	49	28	43	99	27	20	28	34	46	31	30	71	28
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/16/effective_reads	NA	0	0	0	0	0	1	0	0	17	0	1	0	0	0	0	0	1	1	0	1	5	0	0	0	14	0	1	13	0	0	0	0	0	1	0	0	6	1	1	0	15	1	1	0	2	2
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/16/effective_reads_with_deletion	NA	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/16/effective_reads_with_insertion	NA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/16/effective_reads_with_substitution	NA	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	3	0	1	0	1	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/16/hp_count	NA	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702	55702
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/16/indel_error_rate	NA	NA	NA	NA	NA	NA	0.000000%	NA	NA	35.294118%	NA	0.000000%	NA	NA	NA	NA	NA	0.000000%	0.000000%	NA	100.000000%	20.000000%	NA	NA	NA	14.285714%	NA	0.000000%	23.076923%	NA	NA	NA	NA	NA	0.000000%	NA	NA	0.000000%	0.000000%	0.000000%	NA	0.000000%	100.000000%	0.000000%	NA	50.000000%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/16/insertion_error_rate	NA	NA	NA	NA	NA	NA	0.000000%	NA	NA	5.882353%	NA	0.000000%	NA	NA	NA	NA	NA	0.000000%	0.000000%	NA	0.000000%	20.000000%	NA	NA	NA	0.000000%	NA	0.000000%	23.076923%	NA	NA	NA	NA	NA	0.000000%	NA	NA	0.000000%	0.000000%	0.000000%	NA	0.000000%	100.000000%	0.000000%	NA	0.000000%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/16/low_quality_reads	NA	39	38	43	60	43	29	29	128	83	33	46	50	26	64	36	57	44	36	37	60	40	77	39	42	71	39	57	64	51	47	52	35	46	62	42	57	145	35	27	43	59	68	38	50	95	59
